iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,trade_openness,gov_effectiveness
ABW,4265650673.00236,39498.5941293797,,,160.365278789947,0.6567856
AND,4039842405.48117,49303.6491674336,29.8173002100542,,,1.1590368
ARE,552324846834.581,50273.5060469837,3.03252459225118,3.76871736070712,199.044979237546,1.2599659
ASM,871000000.0,18017.4589383973,,,124.684270952928,0.767382
ATG,2207622874.07407,23542.4526945578,,,117.703527768353,0.4299698
AUS,1757022451652.83,64603.9856308464,26.131348255083,27.5833132925557,47.1453811065195,1.8090452
AUT,534790720466.822,58268.8787651601,45.0704267484122,46.0304036608475,108.825777834405,1.5145106
BEL,671370081636.406,56614.5679499036,37.880538821852,39.7375528029031,158.931826338067,1.1947395
BGR,113343355779.985,17596.0173663521,34.4167557205339,35.7558278676639,110.22631455921,0.0428203
BHR,47109734308.5106,29653.5682731534,15.4536755504399,26.1085121752585,157.818492147586,0.6002525
BHS,15832800000.0,39455.4466548546,19.3844099653883,20.347142731791,79.2424586933455,0.7092986
BMU,9233600000.0,142855.374713782,,,75.2902443250736,1.4756305
BRB,7498050000.0,26544.8707282621,,,,0.60457
BRN,15340808592.48,33153.4738913513,,,132.587439642245,0.8351988
CAN,2243636826633.76,54340.3477224733,20.1659904190479,19.2603133808938,65.1499212653783,1.7591249
CHE,936564198048.516,103998.186685604,17.6445914005357,16.7263244208761,134.09514852061,1.8402935
CHI,12507320838.3932,74585.5224096294,,,,
CHL,330267137371.592,16709.8893972307,21.7884463736492,24.579585902841,63.859857248066,0.964461
CRI,95350423176.5962,18587.1532203482,29.3390402864479,28.9089243953107,71.3310137687617,0.2868975
CUW,3561178196.20713,22832.8953958667,,,155.268858003963,
CYM,7241244269.45972,99143.5180243123,,,105.472790158919,1.1842501
CYP,37634533331.8902,38674.29296875,39.9002949913761,38.4593865037483,190.40287092076,0.8696373
CZE,347034062928.479,31823.3078290564,36.5421162532307,34.4426537105922,131.484981069952,1.1773279
DEU,4685592577804.69,56103.7323182554,29.3708896111546,31.174891399437,79.0907305894936,1.5462994
DNK,424524722037.047,71026.4832271897,38.2868050493917,33.3385713177252,131.765030975207,1.9128986
ESP,1725671652742.19,35326.7683069278,29.6705826271851,34.0441499010857,69.9502612382631,1.110811
EST,43130419829.35,31428.3547816104,38.3078148665079,37.6884300915577,151.037702410455,1.2969908
FIN,298696961297.656,53149.7671934051,41.796545189029,44.9319767782795,83.4601015353507,1.8171611
FRA,3160442622465.08,46103.0840855884,42.1079880169865,47.2580360132692,68.1081875443744,1.2007009
FRO,4052937169.76536,74119.6607553879,,,105.752803037623,
GBR,3686033044482.13,53246.3676145108,34.9208011356426,41.2292290721047,62.8401605267118,1.1849099
GIB,,,,,,
GRC,256238371778.118,24626.1481858973,44.763796397246,47.3019610078935,89.7765279446168,0.1912731
GRL,3326543974.39193,58498.9707973609,,,91.8900994375821,1.3528493
GUM,6910000000.0,41833.1517132825,,,71.8668596237337,1.269394
GUY,24662709832.1343,29675.2443873316,,,,-0.0982402
HKG,406863396487.342,54074.6928519479,,,359.506710667464,1.6374532
HRV,92983810328.9088,24050.4397933135,35.0802957460434,38.1251053472541,104.912326073253,0.7097625
HUN,222722738925.641,23292.3263882478,37.960763368241,42.4178061387445,146.504561505902,0.501908
IMN,7431257410.92713,88328.548125887,,,,
IRL,609157459747.205,112894.953240805,25.6760104651326,19.2427274217679,246.169874857401,1.6115533
ISL,33255181468.9382,86040.5309851288,31.470973703207,32.0740117330613,85.9671932681303,1.645973
ISR,540379921261.681,54176.6844383302,31.5892139645298,37.4364799128984,54.4520002969727,1.1726244
ITA,2380825077243.59,40385.3413957669,40.1843155229491,47.2805094852674,62.8237685119526,0.7922891
JPN,4027597523550.58,32487.0778047567,,20.9311943137094,46.4069516150859,2.0879101
KNA,1122388888.88889,23960.6534357084,28.4590147448871,26.7494626224027,,0.6913852
KOR,1875388209406.8,36238.639908315,27.3522982777032,28.3225119832631,84.6424951192038,1.4867237
KWT,160227273053.334,32717.7186631255,,,96.0797881582,0.3278963
LIE,8239379403.22096,206780.590353385,,,,1.6931644
LTU,84869215513.3648,29384.0189598663,35.3361527690021,34.1003296593768,143.04839086338,1.2014922
LUX,93279851863.4062,137781.681659123,44.5883907548223,42.2321737913696,351.267921153192,2.0397137
LVA,43684254432.3609,23409.0845154775,34.1012233424727,34.1951936826963,132.262507895925,0.7431802
MAC,49467258923.3244,72004.7437020733,27.4243671928547,19.5867260271728,142.07943455076,1.1159269
MAF,649206262.847519,21668.3776525323,,,,
MCO,11125783372.4794,288001.433369041,,,,1.7370456
MLT,24971574502.4475,43898.5781808597,33.3124008862171,33.6935052345347,218.170552427881,0.622496
MNP,1096000000.0,23785.754590043,,,93.1569343065693,
NCL,8548919387.12607,29213.1923192946,,,40.368957724281,
NLD,1214927698572.66,67520.4218956281,39.3923519700942,39.9696990762123,153.83065216636,1.7519974
NOR,483592648313.301,86785.4334489176,53.2899550206423,35.8939296791432,81.3635091827243,1.843057
NRU,162588620.632234,13609.158837552,119.275373790323,103.596292774194,165.846774193548,0.0100272
NZL,260172385097.616,49205.1792146792,34.4194893139302,35.5258252195945,51.224397222513,1.8491848
OMN,107137198769.386,20285.2272897377,,,114.852671522017,0.5675096
PAN,86523959131.7472,19161.2188501596,11.1554031256111,17.1412565540901,83.6737787798304,0.2451472
PLW,276733062.744141,15610.8231931032,23.9662798721261,58.345861021431,106.697590281594,0.0100272
POL,917767106146.761,25103.565661423,35.8946310017879,39.0982392627941,100.359442847164,0.6734027
PRI,126029527033.705,39343.7154660139,,,94.6225085555605,-0.2552121
PRT,313271185085.102,29292.242104753,37.4297269462617,37.1595074085006,89.696408854026,0.9474847
PYF,6323716355.05009,22439.8838746025,,,64.4688665693732,
QAT,219162637362.637,76688.6941743178,,,100.213640845612,1.1342702
ROU,382564217988.866,20080.2096215595,30.7097958467432,37.3030637489096,77.2149837939003,0.4181246
RUS,2173835806671.66,14889.0185546875,27.9899902586446,29.6042548935718,39.5081647660396,-0.3215539
SAU,1239804533333.33,35121.6628687742,27.0815901753836,24.2191318731543,54.6787052668733,0.7833016
SGP,547386645891.847,90674.066632628,18.5525265576549,17.3034829398763,322.371427934716,2.2796267
SMR,2027527227.831,59879.7173015651,41.2456881425456,40.4897504268959,340.983395012486,0.8976214
SVK,140934076532.375,25992.6748502048,39.3323818777902,39.7740575217895,171.212800151635,0.6575804
SVN,72972015197.3859,34301.0318686594,43.5255856136637,42.8744911319917,155.657928684474,1.0893351
SWE,603715224265.798,57117.4877440616,33.0652807600438,32.505108387211,105.883091480464,1.7746948
SXM,1797836665.95136,41472.5874498583,,,,
SYC,2167239562.46013,17858.8226383978,,,188.369185297411,0.6267672
TCA,1745378000.0,37506.7798431288,,,,
TTO,25633544529.4849,18733.4110406494,24.2635768758849,33.3170063318443,,0.1112932
URY,80961511073.5797,23906.5133029408,31.1107153639719,37.0207453769907,52.4649167856379,0.6904799
USA,28750956130731.2,84534.0407841548,18.1179765859408,24.8982825568771,25.3786342507088,1.3599787
VGB,,,,,,
VIR,4672000000.0,44320.909185774,,,205.629280821918,0.3747914
AFG,17152234636.8715,413.757894705303,,,67.5846651516385,-1.9339966
BDI,3082433067.32634,219.424830882698,14.1814044465422,12.2195039446055,,-1.0060869
BFA,23124729853.0218,981.992649769081,21.4101843068334,19.5686034183856,60.5024222912348,-0.8748674
CAF,2751494281.06887,516.160999996036,9.20477924788893,11.6613898280077,46.4318999802251,-1.57655
COD,70962185790.7094,649.383338556725,13.2352471174197,12.4487617400964,100.554088317275,-1.6934449
ERI,,,,,,-1.45617889999999
ETH,149740297952.986,1133.88279681719,4.07207549838974,6.12162158603615,17.4004358583187,-0.645991
GMB,2404888749.21907,871.340291776294,,,42.1706172274882,-0.5358243
GNB,2218393804.54798,1007.74151728028,10.1501591947891,15.1656365264112,38.8065847890015,-1.3676142
LBR,4779300900.0,851.497723870206,,,,-1.24629299999999
MDG,17420501490.1231,544.987501003384,12.3430634554779,11.1514164395455,54.9795881437152,-0.8631928
MLI,26794747239.8805,1094.61949265799,12.6624125935281,12.2360084788215,49.8960414309506,-1.2871409
MOZ,22745341305.0622,656.776824637306,24.5228174752045,26.0040350878841,95.659420351194,-0.7157933
MWI,11316411329.4619,522.570393642547,14.1361846816996,20.1738542237372,42.4376683990967,-0.7257604
NER,19876128485.7857,735.270255787226,,,49.9759837351389,-0.7696662
PRK,,,,,,-1.27131019999999
RWA,14251642235.0968,999.65456165547,19.2932037558464,18.5668423445955,69.9544135680561,0.3489076
SDN,49672435513.1126,984.607666015625,,,1.99541210225008,-1.79393619999999
SLE,6971127235.3123,806.654650417726,,,40.5454450452166,-0.9671017
