iso3,year,gdp_usd,gdp_per_capita_usd,trade_openness,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,rd_pct_gdp,gov_effectiveness
ABW,1986,405586592.178771,6767.55922942669,,,,,
ABW,1987,487709497.206704,8244.04566011433,,,,,
ABW,1988,596648044.692737,10056.2613927414,,,,,
ABW,1989,695530726.256983,11507.2171509849,,,,,
ABW,1990,764804469.273743,12187.5363611898,,,,,
ABW,1991,872067039.106145,13233.9905169683,,,,,
ABW,1992,958659217.877095,13892.6051427736,,,,,
ABW,1993,1083240223.46369,14700.9598081521,,,,,
ABW,1994,1245810055.86592,16055.2877874337,,,,,
ABW,1995,1320670391.06145,16548.7173868987,171.362098138748,,,,
ABW,1996,1379888268.15642,16620.9545555513,175.344129554656,,,,
ABW,1997,1531843575.41899,17750.0095644198,168.781911013858,,,,
ABW,1998,1665363128.49162,18828.0870594071,163.267359946327,,,,
ABW,1999,1722905027.93296,19216.1972354472,164.559014267185,,,,
ABW,2000,1873452513.96648,20681.0230269625,145.072879516204,,,,
ABW,2001,1896456983.24022,20740.1325828172,140.391108618306,,,,
ABW,2002,1961843575.41899,21307.2482505267,133.230771421249,,,,
ABW,2003,2044111731.84358,21949.4859960868,132.794291274023,,,,
ABW,2004,2254830726.25698,23700.6319899197,132.430929795173,,,,0.8951417
ABW,2005,2360017318.43575,24171.8371325422,145.050280144237,,,,1.2500659
ABW,2006,2469782681.56425,24845.65848362,141.042626734626,,,,1.2471197
ABW,2007,2677641340.78212,26736.3089444046,139.972309491093,,,,1.2515751
ABW,2008,2843024581.00559,28171.9094008501,139.110149824701,,,,1.2550503
ABW,2009,2553793296.08939,25134.7712303589,137.556575933708,,,,1.3983691
ABW,2010,2453597206.70391,24093.1401510626,135.464654677581,,,,1.0023954
ABW,2011,2637859217.87709,25712.3843015186,154.437786862887,,,,1.0015699
ABW,2012,2615208379.88827,25119.6655449838,156.645197205944,,,,1.0017778
ABW,2013,2727849162.01117,25813.5714408438,155.731904417046,,,,1.00201
ABW,2014,2790849720.67039,26129.8390617693,156.491052766236,,,,0.6967705
ABW,2015,2962906703.91061,27458.2201537506,140.493001133496,,,,0.6950388
ABW,2016,2983637430.1676,27441.5502144601,136.887263320827,,,,0.6956408
ABW,2017,3092427932.96089,28440.0416881491,138.716620095236,,,,0.6958363
ABW,2018,3276187709.49721,30082.1584226798,138.824972245657,,,,0.9066629
ABW,2019,3346623191.45988,30645.8906024548,137.9619293134,,,,0.9077089
ABW,2020,2471419181.71957,22759.8071750722,122.723738046404,,,,0.9047216
ABW,2021,2880902798.92288,26749.3296093118,139.917797708768,,,,0.9064944
ABW,2022,3324034443.26581,30975.9989121779,160.634546418015,,,,1.0084741
ABW,2023,3834729616.12027,35718.7531191634,159.018596924652,,,,0.6576186
ABW,2024,4265650673.00236,39498.5941293797,160.365278789947,,,,0.6567856
AND,1970,78617711.0965325,3935.41127779609,,,,,
