# Canonical country mapping table for the Donor Readiness Index
# Key: iso3 (ISO 3166-1 alpha-3)
# income_group: HIC (High Income), UMC (Upper-Middle Income), LMC (Lower-Middle Income), LIC (Low Income)
# wdi_name, imf_name, ida_name: source-specific name variants (blank = same as country_name)
iso3,country_name,income_group,wdi_name,imf_name,ida_name,is_current_donor
ABW,Aruba,HIC,nan,nan,nan,0
AND,Andorra,HIC,nan,nan,nan,0
ARE,United Arab Emirates,HIC,United Arab Emirates,United Arab Emirates,United Arab Emirates,0
ASM,American Samoa,HIC,nan,nan,nan,0
ATG,Antigua and Barbuda,HIC,nan,nan,nan,0
AUS,Australia,HIC,Australia,Australia,Australia,1
AUT,Austria,HIC,Austria,Austria,Austria,1
BEL,Belgium,HIC,Belgium,Belgium,Belgium,1
BGR,Bulgaria,HIC,Bulgaria,Bulgaria,Bulgaria,0
BHR,Bahrain,HIC,Bahrain,Bahrain,Bahrain,0
BHS,"Bahamas, The",HIC,nan,nan,nan,0
BMU,Bermuda,HIC,nan,nan,nan,0
BRB,Barbados,HIC,nan,nan,nan,0
BRN,Brunei Darussalam,HIC,nan,nan,nan,0
CAN,Canada,HIC,Canada,Canada,Canada,1
CHE,Switzerland,HIC,Switzerland,Switzerland,Switzerland,1
CHI,Channel Islands,HIC,nan,nan,nan,0
CHL,Chile,HIC,Chile,Chile,Chile,0
CRI,Costa Rica,HIC,Costa Rica,Costa Rica,Costa Rica,0
CUW,Curacao,HIC,nan,nan,nan,0
CYM,Cayman Islands,HIC,nan,nan,nan,0
CYP,Cyprus,HIC,Cyprus,Cyprus,Cyprus,0
CZE,Czechia,HIC,Czech Republic,Czech Republic,Czech Republic,0
DEU,Germany,HIC,Germany,Germany,Germany,1
DNK,Denmark,HIC,Denmark,Denmark,Denmark,1
ESP,Spain,HIC,Spain,Spain,Spain,1
EST,Estonia,HIC,Estonia,Estonia,Estonia,0
FIN,Finland,HIC,Finland,Finland,Finland,1
FRA,France,HIC,France,France,France,1
FRO,Faroe Islands,HIC,nan,nan,nan,0
GBR,United Kingdom,HIC,United Kingdom,United Kingdom,United Kingdom,1
GIB,Gibraltar,HIC,nan,nan,nan,0
GRC,Greece,HIC,Greece,Greece,Greece,0
