iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
USA,United States,HIC,High Income,True,28750956130731.2,25674728990086.7,3200000000.0,4316017524.892382,1116017524.8923817,0.004346754839450452,-31426043498669.855,31428275533719.637,0.7414242369369876,0.7414242369369876,0.9841250683487189,50493411167.214455,4316017524.892382,Under-Contributing Donor,0.040400524781754675
FRA,France,HIC,High Income,True,3160442622465.08,3756585907158.45,1345770000.0,1853073174.673462,507303174.6734619,0.013504367721413172,-3454116396516.002,3455131002865.3486,0.7262368364040152,0.7262368364040152,0.943869024986386,6137765407.950823,1853073174.673462,Under-Contributing Donor,0.11976617697343828
BEL,Belgium,HIC,High Income,True,671370081636.406,751216687125.378,200000000.0,597883874.3566413,397883874.3566413,0.052965260380356066,-733464828518.5553,734260596267.2687,0.3345131196508886,0.3345131196508886,0.9498202475231884,1286026584.211095,597883874.3566413,Under-Contributing Donor,0.10889549961158615
DEU,Germany,HIC,High Income,True,4685592577804.69,5224343287117.36,1758040000.0,2077624529.7418437,319584529.7418437,0.006117219182933538,-5121418443972.517,5122057613032.001,0.8461779184992806,0.8461779184992806,0.9374336461989655,9580290416.786968,2077624529.7418437,Reliable Donor,0.13130073041205473
SWE,Sweden,HIC,High Income,True,603715224265.798,665669058844.783,774280000.0,1031793247.5873622,257513247.58736217,0.03868487563989476,-659652876135.1393,660167902630.3141,0.7504216584189669,0.7504216584189669,0.9366404351962595,1564771444.8743963,1031793247.5873622,Under-Contributing Donor,0.1327079461777144
SAU,Saudi Arabia,HIC,High Income,True,1239804533333.33,2216602509388.35,700000000.0,883176602.7802905,183176602.78029048,0.0082638453220391,-1355025139280.6965,1355391492486.257,0.7925934606921876,0.7925934606921876,0.04736116051860908,1511176923.761026,883176602.7802905,Under-Contributing Donor,2.0852717717099507
CHE,Switzerland,HIC,High Income,True,936564198048.516,741034943164.658,655740000.0,831261925.7828845,175521925.78288448,0.023686052513704946,-1023566169146.7762,1023917212998.3419,0.788848832914394,0.788848832914394,0.9252355674932964,2019137339.0296137,831261925.7828845,Under-Contributing Donor,0.1526272058037454
NLD,Netherlands,HIC,High Income,True,1214927698572.66,1268520612483.41,1013090000.0,1163642777.13376,150552777.13375998,0.011868374518488871,-1327865336853.5706,1328166442407.8381,0.870619420244591,0.870619420244591,0.9498208871005109,2332793200.5289,1163642777.13376,Reliable Donor,0.10889431986595761
CAN,Canada,HIC,High Income,True,2243636826633.76,2341345308573.89,1197600000.0,1314411178.3353117,116811178.33531165,0.004989062395348303,-2452362755985.0156,2452596378341.6865,0.911130413176148,0.911130413176148,0.91869148120751,4354767629.328031,1314411178.3353117,Reliable Donor,0.16381892814847054
AUT,Austria,HIC,High Income,True,534790720466.822,585445837925.664,532730000.0,579105955.8303969,46375955.83039689,0.007921476732111537,-584523862455.371,584616614367.0319,0.9199180126477942,0.9199180126477942,0.9248844653598085,1228655119.6914718,579105955.8303969,Reliable Donor,0.15323177790337963
ISR,Israel,HIC,High Income,True,540379921261.681,472176550257.167,0.0,46233306.98301307,46233306.98301307,0.00979152966360411,-590633461226.282,590725927840.248,0.0,0.0,0.5446514243899568,138342001.2610697,46233306.98301307,High-Potential Prospect,0.7278799829638926
