iso3,country_name,income_group,is_current_donor,peer_group,ppp_data_available,gdp_usd,gdp_per_capita_usd,gdp_ppp,gni_per_capita_ppp,fiscal_balance_pct_gdp,govt_debt_pct_gdp,trade_openness,gov_effectiveness,ida20_contribution_usd,ida21_contribution_usd
ABW,Aruba,HIC,0,High Income,True,4265650673.00236,39498.5941293797,4812141511.37331,47960.0,,,160.365278789947,0.6567856,,
AND,Andorra,HIC,0,High Income,True,4039842405.48117,49303.6491674336,5402033635.11601,76090.0,,,,1.1590368,,
ARE,United Arab Emirates,HIC,0,High Income,True,552324846834.581,50273.5060469837,765771908236.642,81530.0,-0.7361927684559397,29.1,199.044979237546,1.2599659,,
ASM,American Samoa,HIC,0,High Income,False,871000000.0,18017.4589383973,,,,,124.684270952928,0.767382,,
ATG,Antigua and Barbuda,HIC,0,High Income,True,2207622874.07407,23542.4526945578,2754237217.77357,31730.0,,,117.703527768353,0.4299698,,
AUS,Australia,HIC,1,High Income,True,1757022451652.83,64603.9856308464,1640076053462.49,69600.0,,53.7,47.1453811065195,1.8090452,259500000.0,285000000.0
AUT,Austria,HIC,1,High Income,True,534790720466.822,58268.8787651601,585445837925.664,74160.0,,74.5,108.825777834405,1.5145106,121000000.0,532730000.0
BEL,Belgium,HIC,1,High Income,True,671370081636.406,56614.5679499036,751216687125.378,74770.0,,105.2,158.931826338067,1.1947395,185000000.0,200000000.0
BGR,Bulgaria,HIC,0,High Income,True,113343355779.985,17596.0173663521,220435278526.734,39850.0,,23.1,110.22631455921,0.0428203,,
BHR,Bahrain,HIC,0,High Income,True,47109734308.5106,29653.5682731534,93559684338.3106,62230.0,,119.2,157.818492147586,0.6002525,,
BHS,"Bahamas, The",HIC,0,High Income,True,15832800000.0,39455.4466548546,14544121121.0956,39550.0,,,79.2424586933455,0.7092986,,
BMU,Bermuda,HIC,0,High Income,True,9233600000.0,142855.374713782,7065486356.13778,129110.0,,,75.2902443250736,1.4756305,,
BRB,Barbados,HIC,0,High Income,True,7498050000.0,26544.8707282621,6168436783.44456,23850.0,,,,0.60457,,
BRN,Brunei Darussalam,HIC,0,High Income,True,15340808592.48,33153.4738913513,36588151541.3938,92750.0,,,132.587439642245,0.8351988,,
CAN,Canada,HIC,1,High Income,True,2243636826633.76,54340.3477224733,2341345308573.89,63630.0,,106.4,65.1499212653783,1.7591249,495000000.0,1197600000.0
CHE,Switzerland,HIC,1,High Income,True,936564198048.516,103998.186685604,741034943164.658,91110.0,,39.0,134.09514852061,1.8402935,375000000.0,655740000.0
CHI,Channel Islands,HIC,0,High Income,False,12507320838.3932,74585.5224096294,,,,,,,,
CHL,Chile,HIC,0,High Income,True,330267137371.592,16709.8893972307,596555875617.396,34320.0,,39.8,63.859857248066,0.964461,,
CRI,Costa Rica,HIC,0,High Income,True,95350423176.5962,18587.1532203482,138371299881.655,28840.0,,64.5,71.3310137687617,0.2868975,,
CUW,Curacao,HIC,0,High Income,True,3561178196.20713,22832.8953958667,4485931928.22728,33300.0,,,155.268858003963,,,
CYM,Cayman Islands,HIC,0,High Income,True,7241244269.45972,99143.5180243123,5819365232.47743,68030.0,,,105.472790158919,1.1842501,,
CYP,Cyprus,HIC,0,High Income,True,37634533331.8902,38674.29296875,51220475871.3833,56200.0,,77.3,190.40287092076,0.8696373,,7760000.0
CZE,Czechia,HIC,0,High Income,True,347034062928.479,31823.3078290564,523047638122.857,54800.0,,44.0,131.484981069952,1.1773279,,20720000.0
DEU,Germany,HIC,1,High Income,True,4685592577804.69,56103.7323182554,5224343287117.36,76180.0,,63.6,79.0907305894936,1.5462994,1520000000.0,1758040000.0
DNK,Denmark,HIC,1,High Income,True,424524722037.047,71026.4832271897,426944264564.674,84680.0,4.948233731666505,30.1,131.765030975207,1.9128986,285000000.0,479320000.0
ESP,Spain,HIC,1,High Income,True,1725671652742.19,35326.7683069278,2367229021292.26,57670.0,-4.373567273900601,107.7,69.9502612382631,1.110811,170000000.0,433400000.0
EST,Estonia,HIC,0,High Income,True,43130419829.35,31428.3547816104,56526269527.8885,48880.0,0.6193847749501984,20.1,151.037702410455,1.2969908,,6560000.0
FIN,Finland,HIC,1,High Income,True,298696961297.656,53149.7671934051,315407096563.701,65640.0,,74.5,83.4601015353507,1.8171611,120000000.0,109930000.0
FRA,France,HIC,1,High Income,True,3160442622465.08,46103.0840855884,3756585907158.45,63880.0,,111.9,68.1081875443744,1.2007009,895000000.0,1345770000.0
FRO,Faroe Islands,HIC,0,High Income,True,4052937169.76536,74119.6607553879,3940289911.86911,83290.0,,,105.752803037623,,,
GBR,United Kingdom,HIC,1,High Income,True,3686033044482.13,53246.3676145108,3642753739205.27,61460.0,-6.3084279364621025,104.1,62.8401605267118,1.1849099,1890000000.0,2519560000.0
GRC,Greece,HIC,0,High Income,True,256238371778.118,24626.1481858973,389924903122.161,43340.0,-2.538164610647506,161.9,89.7765279446168,0.1912731,,
GRL,Greenland,HIC,0,High Income,True,3326543974.39193,58498.9707973609,4039549554.24062,,,,91.8900994375821,1.3528493,,
GUM,Guam,HIC,0,High Income,False,6910000000.0,41833.1517132825,,,,,71.8668596237337,1.269394,,
GUY,Guyana,HIC,0,High Income,True,24662709832.1343,29675.2443873316,58605530526.6564,52290.0,,,,-0.0982402,,
HKG,"Hong Kong SAR, China",HIC,0,High Income,True,406863396487.342,54074.6928519479,497749120777.738,82320.0,,,359.506710667464,1.6374532,,
HRV,Croatia,HIC,0,High Income,True,92983810328.9088,24050.4397933135,165586244677.558,49740.0,-3.0448096012107015,63.7,104.912326073253,0.7097625,,6500000.0
HUN,Hungary,HIC,0,High Income,True,222722738925.641,23292.3263882478,389051087730.184,47290.0,-4.457042770503506,73.6,146.504561505902,0.501908,,23240000.0
IMN,Isle of Man,HIC,0,High Income,False,7431257410.92713,88328.548125887,,,,,,,,
IRL,Ireland,HIC,1,High Income,True,609157459747.205,112894.953240805,642302599499.143,101180.0,6.4332830433647,43.7,246.169874857401,1.6115533,67000000.0,153210000.0
ISL,Iceland,HIC,0,High Income,True,33255181468.9382,86040.5309851288,26015741028.9644,84060.0,-0.6030380298542966,68.1,85.9671932681303,1.645973,,
ISR,Israel,HIC,0,High Income,True,540379921261.681,54176.6844383302,472176550257.167,56790.0,-5.847265948368598,61.5,54.4520002969727,1.1726244,,
ITA,Italy,HIC,1,High Income,True,2380825077243.59,40385.3413957669,3140115970004.12,61620.0,-7.096193962318303,137.3,62.8237685119526,0.7922891,385000000.0,794200000.0
JPN,Japan,HIC,1,High Income,True,4027597523550.58,32487.0778047567,5716122875047.88,55490.0,,261.3,46.4069516150859,2.0879101,2050000000.0,2772140000.0
KNA,St. Kitts and Nevis,HIC,0,High Income,True,1122388888.88889,23960.6534357084,1436039666.27531,34460.0,1.7095521224844,,,0.6913852,,
KOR,"Korea, Rep.",HIC,1,High Income,True,1875388209406.8,36238.639908315,2849979724104.21,61930.0,-0.9702137055599032,54.3,84.6424951192038,1.4867237,260000000.0,620100000.0
KWT,Kuwait,HIC,1,High Income,True,160227273053.334,32717.7186631255,225947312136.531,63270.0,,3.4,96.0797881582,0.3278963,85000000.0,95000000.0
LIE,Liechtenstein,HIC,0,High Income,False,8239379403.22096,206780.590353385,,,,,,1.6931644,,
LTU,Lithuania,HIC,0,High Income,True,84869215513.3648,29384.0189598663,136226690609.618,53920.0,1.2358231096253007,38.4,143.04839086338,1.2014922,,12740000.0
LUX,Luxembourg,HIC,1,High Income,True,93279851863.4062,137781.681659123,86979306129.8114,110650.0,2.3562169634527024,27.4,351.267921153192,2.0397137,73000000.0,82290000.0
LVA,Latvia,HIC,0,High Income,True,43684254432.3609,23409.0845154775,70188039947.5369,42660.0,-0.09397034022359918,43.1,132.262507895925,0.7431802,,11500000.0
MAC,"Macao SAR, China",HIC,0,High Income,True,49467258923.3244,72004.7437020733,76733436445.1954,113320.0,7.837641165681898,,142.07943455076,1.1159269,,
MAF,St. Martin (French part),HIC,0,High Income,False,649206262.847519,21668.3776525323,,,,,,,,
MCO,Monaco,HIC,0,High Income,False,11125783372.4794,288001.433369041,,,,,,1.7370456,,
MLT,Malta,HIC,0,High Income,True,24971574502.4475,43898.5781808597,35666988034.4529,61340.0,-0.3811043483175993,50.0,218.170552427881,0.622496,,
MNP,Northern Mariana Islands,HIC,0,High Income,False,1096000000.0,23785.754590043,,,,,93.1569343065693,,,
NCL,New Caledonia,HIC,0,High Income,False,8548919387.12607,29213.1923192946,,,,,40.368957724281,,,
NLD,Netherlands,HIC,1,High Income,True,1214927698572.66,67520.4218956281,1268520612483.41,84970.0,-0.5773471061181041,48.2,153.83065216636,1.7519974,510000000.0,1013090000.0
NOR,Norway,HIC,1,High Income,True,483592648313.301,86785.4334489176,507663853531.356,106830.0,17.396025341499104,39.5,81.3635091827243,1.843057,390000000.0,468210000.0
NRU,Nauru,HIC,0,High Income,True,162588620.632234,13609.158837552,148964293.072557,21970.0,15.679081016129004,,165.846774193548,0.0100272,,
NZL,New Zealand,HIC,1,High Income,True,260172385097.616,49205.1792146792,260760464700.573,53600.0,-1.1063359056643023,49.9,51.224397222513,1.8491848,58000000.0,65000000.0
OMN,Oman,HIC,0,High Income,True,107137198769.386,20285.2272897377,193943781868.603,39340.0,,36.9,114.852671522017,0.5675096,,
PAN,Panama,HIC,0,High Income,True,86523959131.7472,19161.2188501596,164344052511.367,39260.0,-5.985853428478999,59.0,83.6737787798304,0.2451472,,
PLW,Palau,HIC,0,High Income,True,276733062.744141,15610.8231931032,291183210.455899,18320.0,-34.3795811493049,,106.697590281594,0.0100272,,
POL,Poland,HIC,0,High Income,True,917767106146.761,25103.565661423,1650760655426.38,49540.0,-3.2036082610062024,49.6,100.359442847164,0.6734027,,40670000.0
PRI,Puerto Rico (US),HIC,0,High Income,True,126029527033.705,39343.7154660139,141604056305.924,34060.0,,,94.6225085555605,-0.2552121,,
PRT,Portugal,HIC,1,High Income,True,313271185085.102,29292.242104753,451285619975.167,50730.0,0.2702195377611005,99.1,89.696408854026,0.9474847,55000000.0,19970000.0
PYF,French Polynesia,HIC,0,High Income,False,6323716355.05009,22439.8838746025,,,,,64.4688665693732,,,
QAT,Qatar,HIC,0,High Income,True,219162637362.637,76688.6941743178,316903289158.333,121900.0,,41.5,100.213640845612,1.1342702,,
ROU,Romania,HIC,0,High Income,True,382564217988.866,20080.2096215595,771674274828.582,47920.0,-6.593267902166399,52.2,77.2149837939003,0.4181246,,6500000.0
RUS,Russian Federation,HIC,0,High Income,True,2173835806671.66,14889.0185546875,6088997179872.49,46780.0,-1.6142646349271992,,39.5081647660396,-0.3215539,,
SAU,Saudi Arabia,HIC,1,High Income,True,1239804533333.33,35121.6628687742,2216602509388.35,71730.0,2.8624583022292995,26.2,54.6787052668733,0.7833016,350000000.0,700000000.0
SGP,Singapore,HIC,1,High Income,True,547386645891.847,90674.066632628,800303664054.59,126190.0,1.2490436177786002,167.9,322.371427934716,2.2796267,48000000.0,55000000.0
SMR,San Marino,HIC,0,High Income,True,2027527227.831,59879.7173015651,2402427595.62567,71860.0,0.7559377156497007,,340.983395012486,0.8976214,,
SVK,Slovak Republic,HIC,0,High Income,True,140934076532.375,25992.6748502048,218612696723.355,47040.0,-0.4416756439993037,56.0,171.212800151635,0.6575804,,3870000.0
SVN,Slovenia,HIC,0,High Income,True,72972015197.3859,34301.0318686594,103495686631.162,56520.0,0.6510944816720041,69.0,155.657928684474,1.0893351,,7760000.0
SWE,Sweden,HIC,1,High Income,True,603715224265.798,57117.4877440616,665669058844.783,75000.0,0.5601723728327954,31.7,105.883091480464,1.7746948,455000000.0,774280000.0
SXM,Sint Maarten (Dutch part),HIC,0,High Income,True,1797836665.95136,41472.5874498583,2050593492.7802,51990.0,,,,,,
SYC,Seychelles,HIC,0,High Income,True,2167239562.46013,17858.8226383978,3548606461.02571,32180.0,,,188.369185297411,0.6267672,,
TCA,Turks and Caicos Islands,HIC,0,High Income,True,1745378000.0,37506.7798431288,1553828160.67349,37440.0,,,,,,
TTO,Trinidad and Tobago,HIC,0,High Income,True,25633544529.4849,18733.4110406494,43732137356.2569,36580.0,-9.053429455959396,,,0.1112932,,
URY,Uruguay,HIC,0,High Income,True,80961511073.5797,23906.5133029408,108502123258.158,34170.0,-5.910030013018805,60.2,52.4649167856379,0.6904799,,
USA,United States,HIC,1,High Income,True,28750956130731.2,84534.0407841548,25674728990086.7,85980.0,-6.7803059709363005,122.1,25.3786342507088,1.3599787,3850000000.0,3200000000.0
VIR,Virgin Islands (U.S.),HIC,0,High Income,True,4672000000.0,44320.909185774,4899522415.95903,,,,205.629280821918,0.3747914,,
AFG,Afghanistan,LIC,0,Low Income,True,17152234636.8715,413.757894705303,82238478027.9442,2210.0,,,67.5846651516385,-1.9339966,,
BDI,Burundi,LIC,0,Low Income,True,3082433067.32634,219.424830882698,14767865865.0483,1200.0,1.9619005019367002,,,-1.0060869,,
BFA,Burkina Faso,LIC,0,Low Income,True,23124729853.0218,981.992649769081,59994577724.1268,2720.0,1.841580888447801,,60.5024222912348,-0.8748674,,
CAF,Central African Republic,LIC,0,Low Income,True,2751494281.06887,516.160999996036,5923566230.74976,1340.0,-2.4566105801187703,,46.4318999802251,-1.57655,,
COD,"Congo, Dem. Rep.",LIC,0,Low Income,True,70962185790.7094,649.383338556725,175068770052.875,1760.0,0.7864853773233005,,100.554088317275,-1.6934449,,
ERI,Eritrea,LIC,0,Low Income,False,,,,,,,,-1.45617889999999,,
ETH,Ethiopia,LIC,0,Low Income,True,149740297952.986,1133.88279681719,381946190066.437,3280.0,-2.0495460876464096,37.8,17.4004358583187,-0.645991,,
GMB,"Gambia, The",LIC,0,Low Income,True,2404888749.21907,871.340291776294,8439171637.60406,3430.0,,,42.1706172274882,-0.5358243,,
GNB,Guinea-Bissau,LIC,0,Low Income,True,2218393804.54798,1007.74151728028,6041125849.26546,3140.0,-5.015477331622099,,38.8065847890015,-1.3676142,,
LBR,Liberia,LIC,0,Low Income,True,4779300900.0,851.497723870206,9239025769.781,1750.0,,,,-1.24629299999999,,
MDG,Madagascar,LIC,0,Low Income,True,17420501490.1231,544.987501003384,52967520949.4448,1830.0,1.1916470159324,,54.9795881437152,-0.8631928,,
MLI,Mali,LIC,0,Low Income,True,26794747239.8805,1094.61949265799,71384118790.3552,3230.0,0.42640411470659956,,49.8960414309506,-1.2871409,,
MOZ,Mozambique,LIC,0,Low Income,True,22745341305.0622,656.776824637306,51958532879.6799,1520.0,-1.4812176126795968,,95.659420351194,-0.7157933,,
MWI,Malawi,LIC,0,Low Income,True,11316411329.4619,522.570393642547,35390077575.2599,1830.0,-6.037669542037602,,42.4376683990967,-0.7257604,,
NER,Niger,LIC,0,Low Income,True,19876128485.7857,735.270255787226,48751250109.2132,2030.0,,,49.9759837351389,-0.7696662,,
PRK,"Korea, Dem. People's Rep.",LIC,0,Low Income,False,,,,,,,,-1.27131019999999,,
RWA,Rwanda,LIC,0,Low Income,True,14251642235.0968,999.65456165547,46542623255.6292,3620.0,0.7263614112508989,,69.9544135680561,0.3489076,,
SDN,Sudan,LIC,0,Low Income,True,49672435513.1126,984.607666015625,93905594489.6469,2050.0,,,1.99541210225008,-1.79393619999999,,
SLE,Sierra Leone,LIC,0,Low Income,True,6971127235.3123,806.654650417726,26779577207.271,3490.0,,,40.5454450452166,-0.9671017,,
SOM,"Somalia, Fed. Rep.",LIC,0,Low Income,True,11967000000.0,629.538899449007,26790260348.198,1630.0,-3.25621703570559,,130.325060583271,-1.95005229999999,,
SSD,South Sudan,LIC,0,Low Income,False,,,,,,,,-2.1728459,,
SYR,Syrian Arab Republic,LIC,0,Low Income,True,23622827079.5047,1051.67149587463,100065695233.932,4610.0,,,35.6094680799956,-1.6726478,,
TCD,Chad,LIC,0,Low Income,True,19518819751.283,961.55975562506,48979060781.1025,2710.0,,,47.8679892951699,-1.1005006,,
TGO,Togo,LIC,0,Low Income,True,10651180146.531,1119.38160509429,28172476918.4511,3380.0,-0.36626145183250003,,61.575092396894,-0.8014589,,
UGA,Uganda,LIC,0,Low Income,True,53911907086.1525,1077.91278452817,144026964626.23,3190.0,-2.5387712274207015,,42.6527889088562,-0.3501362,,
YEM,"Yemen, Rep.",LIC,0,Low Income,False,21606160663.0318,633.887202451545,,,,,56.0778227215077,-1.87279819999999,,
AGO,Angola,LMC,0,Lower-Middle Income,True,100998916781.079,2665.87444776753,337255560567.664,9460.0,3.9586733405309005,,50.8422305562091,-0.785190899999999,,
BEN,Benin,LMC,0,Lower-Middle Income,True,21482643706.4249,1485.38018885134,56423799507.9997,4390.0,,,40.6398022401523,-0.1854211,,
BGD,Bangladesh,LMC,0,Lower-Middle Income,True,450119432068.852,2593.41611680774,1472986459828.03,10060.0,1.2145620105974402,39.5,26.7780758040478,-0.618974599999999,,
BOL,Bolivia,LMC,0,Lower-Middle Income,True,54881327452.9667,4421.16609889999,140632330052.604,12620.0,,,46.9778716148403,-0.6104172,,
BTN,Bhutan,LMC,0,Lower-Middle Income,True,3012896789.24928,3831.32535494609,11489317550.7216,15320.0,-4.047676623528201,,81.7366278688545,0.5808357,,
CIV,Cote d'Ivoire,LMC,0,Lower-Middle Income,True,87113179149.284,2727.8935220697,215461462281.624,7360.0,-4.513107302219002,,51.2640379409119,-0.3157177,,
CMR,Cameroon,LMC,0,Lower-Middle Income,True,53296694320.2057,1830.00833684727,143199513689.651,5490.0,1.3200256296043005,,34.4031785915423,-0.800788699999999,,
COG,"Congo, Rep.",LMC,0,Lower-Middle Income,True,15719986076.6464,2482.2489948456,39147012969.3478,6340.0,3.9192747208957,,93.1881220839752,-1.110638,,
COM,Comoros,LMC,0,Lower-Middle Income,True,1440991455.45188,1662.75663312504,3018062220.97688,3980.0,,,44.3731767499027,-1.2085975,,
DJI,Djibouti,LMC,0,Lower-Middle Income,True,4152145939.98458,3552.72335079222,8030434256.31262,8030.0,,,241.237463098287,-0.4930443,,
EGY,"Egypt, Arab Rep.",LMC,0,Lower-Middle Income,True,389059911003.566,3338.47371395895,1957627322504.22,18230.0,,92.7,39.6007520873733,-0.0970579,,
FSM,"Micronesia, Fed. Sts.",LMC,0,Lower-Middle Income,True,471425099.488675,4166.00476748564,432741079.241925,4690.0,6.278249413805899,,98.4249672966653,-0.1847801,,
GHA,Ghana,LMC,0,Lower-Middle Income,True,82308110386.4641,2390.77237652715,242906921529.863,7720.0,-7.656728713689798,84.9,69.7884227390592,0.0595796,,
GIN,Guinea,LMC,0,Lower-Middle Income,True,25008678293.4084,1694.95375862193,59260261425.5034,4130.0,,,97.7778177312748,-0.8881627,,
HND,Honduras,LMC,0,Lower-Middle Income,True,37093565854.0437,3426.43483328923,71296514097.7746,6900.0,-2.182536678355799,,91.1101585856976,-0.6196728,,
HTI,Haiti,LMC,0,Lower-Middle Income,True,25224154990.7946,2142.62330526788,33076710100.7338,3190.0,,,22.2478853726107,-2.0156868,,
IND,India,LMC,0,Lower-Middle Income,True,3909891533858.08,2694.73780859961,14245349560959.0,11000.0,-4.22340000530704,83.9,44.6492935069676,0.4046051,,
JOR,Jordan,LMC,0,Lower-Middle Income,True,53352289577.4648,4618.09592498567,109986275190.311,10570.0,-5.1906636799453985,,99.6794477365724,0.2162114,,
KEN,Kenya,LMC,0,Lower-Middle Income,True,120339557905.932,2132.43452097647,329861910700.434,6540.0,-9.2058116697851,72.5,40.1860139968756,-0.2978904,,
KGZ,Kyrgyz Republic,LMC,0,Lower-Middle Income,True,17478259659.2625,2420.18542283831,50906871854.8587,7900.0,7.907524027108,,127.650577802859,-0.8885033,,
KHM,Cambodia,LMC,0,Lower-Middle Income,True,46352647037.2406,2627.87969756224,123628404396.599,7910.0,0.8097183929248999,,143.447009703011,-0.293501299999999,,
KIR,Kiribati,LMC,0,Lower-Middle Income,True,307862564.489711,2288.63471423684,438143459.626784,6060.0,-3.489947732878491,,107.603778509938,-0.4343103,,
LAO,Lao PDR,LMC,0,Lower-Middle Income,True,16502933121.3379,2123.97909415109,66822965068.7706,9160.0,3.5979643606683,,,-0.5819014,,
LBN,Lebanon,LMC,0,Lower-Middle Income,True,20078620356.9931,3477.72489842684,65415227251.247,12420.0,7.15456181793138,,104.206410069182,-1.1301199,,
LKA,Sri Lanka,LMC,0,Lower-Middle Income,True,98963185509.6499,4515.56787322732,301407170002.3,15240.0,-6.994455041342402,,42.3975008711047,-0.2745215,,
LSO,Lesotho,LMC,0,Lower-Middle Income,True,2271759454.51107,971.90771824829,6171463926.93622,3580.0,4.003263815024297,,141.51375589725,-0.6470887,,
MAR,Morocco,LMC,0,Lower-Middle Income,True,160610994054.734,4153.1943359375,354338830185.762,10260.0,-0.4589068909242009,69.7,92.1872446062404,0.1763559,,
MMR,Myanmar,LMC,0,Lower-Middle Income,True,74068349523.8095,1359.05001560107,287558521666.165,5890.0,0.6136763547275006,,,-1.5583075,,
MRT,Mauritania,LMC,0,Lower-Middle Income,True,10908045686.8808,2110.12036938187,33511586137.0969,7300.0,,,93.5988355881472,-0.741247299999999,,
NAM,Namibia,LMC,0,Lower-Middle Income,True,13372354511.716,4413.12752211572,31153793845.0744,11300.0,-0.9468535712367014,,109.628509818932,0.0993430999999999,,
NGA,Nigeria,LMC,0,Lower-Middle Income,True,252261880141.151,1084.16041805436,1860089921812.28,8850.0,,37.7,,-1.0065889,,
NIC,Nicaragua,LMC,0,Lower-Middle Income,True,19693982967.5926,2847.53966339498,52988712244.5939,8270.0,5.239978954407,,98.5258377100159,-1.0529768,,
NPL,Nepal,LMC,0,Lower-Middle Income,True,42914268286.7109,1447.31004458428,149643411660.469,5830.0,-2.9082075748431,,40.5298226771909,-0.8845295,,
PAK,Pakistan,LMC,0,Lower-Middle Income,True,371570000121.266,1478.77277977996,1382061800204.16,6100.0,,74.9,27.5784683520695,-0.6003273,,
PHL,Philippines,LMC,0,Lower-Middle Income,True,461617509782.355,3984.8315387656,1201987017721.73,13330.0,-0.18542752410029806,60.2,65.8854725286968,0.1445214,,
PNG,Papua New Guinea,LMC,0,Lower-Middle Income,True,31800428265.5246,3006.70564478923,45357628034.991,4580.0,-3.462733328809801,,,-0.900446699999999,,
PSE,West Bank and Gaza,LMC,0,Lower-Middle Income,True,13711100000.0,2592.30591217647,20339449744.6379,4660.0,,,81.3136801569531,-1.0985907,,
SEN,Senegal,LMC,0,Lower-Middle Income,True,32808056600.9436,1773.21829923448,82535939325.2829,4920.0,0.6106899753859025,,68.1405147656211,0.2344127,,
SLB,Solomon Islands,LMC,0,Lower-Middle Income,True,1583964703.75061,1933.55538435227,1927776122.51779,2680.0,-4.2631117740783,,111.352972064455,-0.868619199999999,,
STP,Sao Tome and Principe,LMC,0,Lower-Middle Income,True,822154621.088897,3490.56883486557,1293398436.04085,6240.0,,,,-0.718673799999999,,
SWZ,Eswatini,LMC,0,Lower-Middle Income,True,4858885840.77236,3909.55892378182,12900985341.5671,10760.0,0.4724619698530006,,107.480621053879,-0.7811414,,
TJK,Tajikistan,LMC,0,Lower-Middle Income,True,14204575548.5536,1341.20229027672,50369738870.8902,7100.0,7.961311987448999,,65.6347010367354,-0.6009336,,
TLS,Timor-Leste,LMC,0,Lower-Middle Income,True,1865608515.41321,1331.9705130185,5449823119.04932,5040.0,-1.0259776290530027,,95.4485021286221,-0.898562299999999,,
TUN,Tunisia,LMC,0,Lower-Middle Income,True,51332285656.5422,4181.13789301228,156839034439.788,14230.0,,79.8,106.298549204247,-0.2393469,,
