country_iso3,replenishment_round,donate_dummy,donation_usd,log_gdp_per_capita,dac_member,un_voting_align,trade_openness,gov_effectiveness,peer_donor,log_gdp_level,fiscal_balance_pct_gdp,ida_vote_share_lag,trade_exposure_ida,log_donation_lag,us_eu_ally,sovereign_credit_rating
AUT,IDA1,1,5040000.0,7.066942,0,0.835115,,1.787718,0,22.853169,,1.2,0.12,0.0,1,AA+
AUT,IDA2,1,8160000.0,7.429914,1,0.880662,55.0761,1.787718,0,23.248984,,1.2,0.12,15.432917,1,AA+
AUT,IDA3,1,16320000.0,7.625939,1,0.817182,55.0761,1.787718,0,23.451954,1.8329,1.2,0.12,15.914755,1,AA+
AUT,IDA4,1,30600000.0,8.262426,1,0.776991,54.671,1.787718,1,24.104256,0.6341,1.2,0.12,16.607902,1,AA+
AUT,IDA5,1,49700000.0,8.822315,1,0.766122,60.5146,1.787718,1,24.661811,-1.7358,1.2,0.12,17.236511,1,AA+
AUT,IDA6,1,80427000.0,9.289796,1,0.700755,67.0878,1.787718,1,25.126779,-1.0743,1.2,0.12,17.721516,1,AA+
AUT,IDA7,1,63036300.0,9.100062,1,0.546942,66.8368,1.787718,1,24.938633,-2.3565,1.2,0.12,18.202861,1,AA+
AUT,IDA8,1,96140400.0,9.700671,1,0.583905,63.1009,1.787718,1,25.54098,-4.1862,1.2,0.12,17.959221,1,AA+
AUT,IDA9,1,127999100.0,9.980267,1,0.528844,71.7695,1.787718,1,25.834117,-2.5725,1.2,0.12,18.38132,1,AA+
AUT,IDA10,1,161343000.0,10.085276,1,0.615391,63.5138,1.787718,1,25.968362,-3.6876,1.2,0.12,18.667534,1,AA+
AUT,IDA11,1,66053400.0,10.297081,1,0.621492,70.4693,1.787718,1,26.186897,-4.7834,1.2,0.12,18.899043,1,AA+
AUT,IDA12,1,92815800.0,10.206503,1,0.609995,78.5629,1.778074,1,26.100495,-2.6691,1.2,0.12,18.005974,1,AA+
AUT,IDA13,1,105985000.0,10.178649,1,0.572012,87.5845,1.962497,1,26.083794,-1.4377,1.2,0.12,18.346127,1,AA+
AUT,IDA14,1,314265200.0,10.549474,1,0.57678,94.6748,1.881578,1,26.472507,-2.4959,1.2,0.12,18.478808,1,AA+
AUT,IDA15,1,492747400.0,10.749848,1,0.515964,101.365,1.774168,1,26.681071,-1.0339,1.2,0.12,19.565748,1,AA+
AUT,IDA16,1,539036700.0,10.749595,1,0.620692,99.6449,1.75099,1,26.688971,-2.9669,1.2,0.12,20.015507,1,AA+
AUT,IDA17,1,532400000.0,10.825867,1,0.609916,104.9854,1.573878,1,26.779067,-1.9417,1.2,0.12,20.105294,1,AA+
AUT,IDA18,1,446916400.0,10.715783,1,0.598004,101.5735,1.658232,1,26.698823,-1.4671,1.2,0.12,20.092906,1,AA+
AUT,IDA19,1,488100000.0,10.817496,1,0.600622,108.2073,1.752757,1,26.816799,0.3765,1.2,0.12,19.917882,1,AA+
AUT,IDA20,1,520280000.0,10.890211,1,0.610162,111.0329,1.816306,1,26.898023,-5.1123,1.2,0.12,20.006031,1,AA+
AUT,IDA21,1,532730000.0,10.972823,1,0.682355,108.8258,1.514511,1,27.005141,-0.96,1.2,0.12,20.069878,1,AA+
BEL,IDA1,1,16500000.0,7.349246,1,0.920984,,1.677956,0,23.39367,,2.0,0.17,0.0,1,AA
BEL,IDA2,1,20400000.0,7.71927,1,0.954476,87.7273,1.677956,0,23.798496,,2.0,0.17,16.618871,1,AA
BEL,IDA3,1,40800000.0,7.925118,1,0.866065,87.7273,1.677956,0,24.008161,,2.0,0.17,16.831046,1,AA
BEL,IDA4,1,76500000.0,8.497187,1,0.831388,94.1441,1.677956,1,24.589115,,2.0,0.17,17.524193,1,AA
BEL,IDA5,1,124600000.0,9.03919,1,0.905349,95.6775,1.677956,1,25.140176,,2.0,0.17,18.152801,1,AA
BEL,IDA6,1,198683800.0,9.462188,1,0.870656,103.0554,1.677956,1,25.566108,,2.0,0.17,18.640619,1,AA
BEL,IDA7,1,147515000.0,9.042782,1,0.759238,128.2307,1.677956,1,25.146309,,2.0,0.17,19.107225,1,AA
BEL,IDA8,1,230737000.0,9.624822,1,0.757618,109.9191,1.677956,1,25.729856,,2.0,0.17,18.80944,1,AA
BEL,IDA9,1,247833000.0,9.933065,1,0.74108,121.4679,1.677956,1,26.047893,,2.0,0.17,19.256789,1,AA
BEL,IDA10,1,277868500.0,10.011621,1,0.701557,109.0127,1.677956,1,26.138129,-4.2043,2.0,0.17,19.328266,1,AA
BEL,IDA11,1,113755400.0,10.221561,1,0.706983,119.2128,1.677956,1,26.355199,-3.9754,2.0,0.17,19.442659,1,AA
BEL,IDA12,1,183738200.0,10.136692,1,0.657431,125.17,1.634853,1,26.277177,-1.3048,2.0,0.17,18.549561,1,AA
BEL,IDA13,1,210600400.0,10.126879,1,0.625278,136.0851,1.936304,1,26.277711,-0.0861,2.0,0.17,19.029022,1,AA
BEL,IDA14,1,331377300.0,10.513517,1,0.597556,144.5291,1.698945,1,26.678364,-3.0794,2.0,0.17,19.165473,1,AA
BEL,IDA15,1,506907400.0,10.699172,1,0.576211,152.4684,1.512498,1,26.877959,-0.5799,2.0,0.17,19.618768,1,AA
BEL,IDA16,1,543151700.0,10.696421,1,0.681812,150.1626,1.659156,1,26.900289,-3.2204,2.0,0.17,20.043839,1,AA
BEL,IDA17,1,559101300.0,10.757149,1,0.662481,157.5736,1.815652,1,26.984943,-2.7144,2.0,0.17,20.112899,1,AA
BEL,IDA18,1,463811700.0,10.641956,1,0.68939,159.0577,1.352047,1,26.885046,-2.6832,2.0,0.17,20.141841,1,AA
BEL,IDA19,1,505290000.0,10.751855,1,0.649996,165.4655,1.120572,1,27.008754,-1.8481,2.0,0.17,19.954989,1,AA
BEL,IDA20,1,533010000.0,10.852405,1,0.669541,177.3819,1.228272,1,27.11773,-3.671,2.0,0.17,20.040643,1,AA
BEL,IDA21,0,0.0,10.944022,1,0.694698,158.9318,1.19474,1,27.232586,-1.857,2.0,0.17,20.094051,1,AA
CAN,IDA1,1,41700000.0,7.774989,1,0.960627,35.3318,1.77711,0,24.533042,,3.5,0.15,0.0,1,AAA
CAN,IDA2,1,67200000.0,8.152842,1,0.890215,40.7274,1.77711,0,25.00061,,3.5,0.15,17.546012,1,AAA
CAN,IDA3,1,150000000.0,8.327441,1,0.84899,41.4923,1.77711,0,25.202785,,3.5,0.15,18.023184,1,AAA
CAN,IDA4,1,274500000.0,8.675621,1,0.793358,44.2883,1.77711,1,25.604281,,3.5,0.15,18.826146,1,AAA
CAN,IDA5,1,447900000.0,9.099309,1,0.895726,45.7584,1.77711,1,26.081385,,3.5,0.15,19.430462,1,AAA
CAN,IDA6,1,508544100.0,9.324401,1,0.884647,53.318,1.77711,1,26.339224,,3.5,0.15,19.920081,1,AAA
CAN,IDA7,1,424636100.0,9.541834,1,0.767472,52.4767,1.77711,1,26.600213,,3.5,0.15,20.047062,1,AAA
CAN,IDA8,1,652393400.0,9.703675,1,0.728389,50.8664,1.77711,1,26.794314,-4.406,3.5,0.15,19.866743,1,AAA
CAN,IDA9,1,760007500.0,9.97701,1,0.661158,49.9945,1.77711,1,27.113633,-4.406,3.5,0.15,20.296158,1,AAA
CAN,IDA10,1,716955900.0,9.912784,1,0.644194,58.2508,1.77711,1,27.084661,-5.4047,3.5,0.15,20.448839,1,AAA
CAN,IDA11,1,275198200.0,9.96632,1,0.660359,70.2601,1.77711,1,27.16995,-2.626,3.5,0.15,20.390525,1,AAA
CAN,IDA12,1,444528000.0,10.013025,1,0.650327,80.115,1.80739,1,27.243021,0.8359,3.5,0.15,19.433002,1,AAA
CAN,IDA13,1,546196800.0,10.09642,1,0.64604,75.707,1.976335,1,27.357438,1.3616,3.5,0.15,19.912524,1,AAA
CAN,IDA14,1,808547200.0,10.501875,1,0.663786,69.7591,1.861353,1,27.790678,0.7057,3.5,0.15,20.11849,1,AAA
CAN,IDA15,1,1293626100.0,10.706835,1,0.715458,66.2834,1.820534,1,28.015481,1.7324,3.5,0.15,20.51075,1,AAA
