rank,iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
1,USA,United States,HIC,High Income,True,28750956130731.2,25674728990086.7,3200000000.0,4316017524.892382,1116017524.8923817,0.004346754839450452,-34751776679541.31,34754008714591.09,0.7414242369369876,0.7414242369369876,0.9841250683487189,60850963901.96275,4316017524.892382,Under-Contributing Donor,0.040400524781754675
2,FRA,France,HIC,High Income,True,3160442622465.08,3756585907158.45,1345770000.0,1853073174.673462,507303174.6734619,0.013504367721413172,-3819696895751.566,3820711502100.9126,0.7262368364040152,0.7262368364040152,0.943869024986386,8702406668.894785,1853073174.673462,Under-Contributing Donor,0.11976617697343828
3,BEL,Belgium,HIC,High Income,True,671370081636.406,751216687125.378,200000000.0,597883874.3566413,397883874.3566413,0.052965260380356066,-811124776486.5461,811920544235.2595,0.3345131196508886,0.3345131196508886,0.9498202475231884,1769397084.3620455,597883874.3566413,Under-Contributing Donor,0.10889549961158615
4,DEU,Germany,HIC,High Income,True,4685592577804.69,5224343287117.36,1758040000.0,2077624529.7418437,319584529.7418437,0.006117219182933538,-5663418878225.684,5664058047285.168,0.8461779184992806,0.8461779184992806,0.9374336461989655,12810387879.410414,2077624529.7418437,Reliable Donor,0.13130073041205473
5,SWE,Sweden,HIC,High Income,True,603715224265.798,665669058844.783,774280000.0,1031793247.5873622,257513247.58736217,0.03868487563989476,-729486927705.7557,730001954200.9305,0.7504216584189669,0.7504216584189669,0.9366404351962595,2000863057.0356307,1031793247.5873622,Under-Contributing Donor,0.1327079461777144
6,SAU,Saudi Arabia,HIC,High Income,True,1239804533333.33,2216602509388.35,700000000.0,883176602.7802905,183176602.78029048,0.0082638453220391,-1498438076768.8606,1498804429974.4211,0.7925934606921876,0.7925934606921876,0.04736116051860908,703212516.0679327,883176602.7802905,Under-Contributing Donor,2.0852717717099507
7,CHE,Switzerland,HIC,High Income,True,936564198048.516,741034943164.658,655740000.0,831261925.7828845,175521925.78288448,0.023686052513704946,-1131902135968.308,1132253179819.874,0.788848832914394,0.788848832914394,0.9252355674932964,2598682013.2261415,831261925.7828845,Under-Contributing Donor,0.1526272058037454
8,NLD,Netherlands,HIC,High Income,True,1214927698572.66,1268520612483.41,1013090000.0,1163642777.13376,150552777.13375998,0.011868374518488871,-1468400675613.455,1468701781167.7227,0.870619420244591,0.870619420244591,0.9498208871005109,3347631219.7555513,1163642777.13376,Reliable Donor,0.10889431986595761
9,CAN,Canada,HIC,High Income,True,2243636826633.76,2341345308573.89,1197600000.0,1314411178.3353117,116811178.33531165,0.004989062395348303,-2711892818436.9336,2712126440793.6045,0.911130413176148,0.911130413176148,0.91869148120751,5823306160.913741,1314411178.3353117,Reliable Donor,0.16381892814847054
10,AUT,Austria,HIC,High Income,True,534790720466.822,585445837925.664,532730000.0,579105955.8303969,46375955.83039689,0.007921476732111537,-646385152764.864,646477904676.5249,0.9199180126477942,0.9199180126477942,0.9248844653598085,1505237245.8797605,579105955.8303969,Reliable Donor,0.15323177790337963
11,ISR,Israel,HIC,High Income,True,540379921261.681,472176550257.167,0.0,46233306.98301307,46233306.98301307,0.00979152966360411,-653141275792.342,653233742406.3081,0.0,0.0,0.5446514243899568,156391009.58822507,46233306.98301307,High-Potential Prospect,0.7278799829638926
12,FIN,Finland,HIC,High Income,True,298696961297.656,315407096563.701,109930000.0,150930501.16079438,41000501.16079438,0.012999232296129945,-361010764098.12573,361092765100.44727,0.7283484726714428,0.7283484726714428,0.9231068455948344,838937473.8830459,150930501.16079438,Under-Contributing Donor,0.1562853739073849
13,HKG,"Hong Kong SAR, China",HIC,High Income,True,406863396487.342,497749120777.738,0.0,33378613.143576108,33378613.143576108,0.00670591102027899,-491765220925.4275,491831978151.7146,0.0,0.0,0.3263557745687097,127393430.25244376,33378613.143576108,Emerging Prospect,1.1047060906583506
14,SGP,Singapore,HIC,High Income,True,547386645891.847,800303664054.59,55000000.0,85986705.46154061,30986705.46154061,0.0038718684985836775,-661625943310.6091,661687916721.5322,0.6396337632054053,0.6396337632054053,0.26642406187714984,455589679.9859143,85986705.46154061,Under-Contributing Donor,1.2327518630348815
15,ROU,Romania,HIC,High Income,True,382564217988.866,771674274828.582,6500000.0,32941322.027181014,26441322.027181014,0.003426487429952829,-462400378747.90344,462453261391.95776,0.19732055667458115,0.19732055667458115,0.34253764786199015,250608279.15781695,32941322.027181014,Emerging Prospect,1.0727236571134962
16,TUR,Turkiye,UMC,Upper-Middle Income,True,1359123768774.12,3091883611271.66,0.0,21937793.86946587,21937793.86946587,0.0007095284502136572,-1642827165500.9072,1642871041088.646,0.0,0.0,0.18230006751281141,239191828.78986064,21937793.86946587,Low Probability,1.4508791399594132
17,UKR,Ukraine,UMC,Upper-Middle Income,True,190741262414.705,577582962162.907,0.0,16022673.106345339,16022673.106345339,0.002774090330910099,-230543635776.50653,230575681122.71924,0.0,0.0,0.33416576393729436,10988196.004934633,16022673.106345339,Emerging Prospect,1.0891521872144916
18,MEX,Mexico,UMC,Upper-Middle Income,True,1856365616165.94,2884128005836.94,0.0,14816409.52134752,14816409.52134752,0.000513722327558342,-2243878387412.683,2243908020231.726,0.0,0.0,0.09014306966847807,210678447.36922607,14816409.52134752,Low Probability,1.8036038355164357
19,IND,India,LMC,Lower-Middle Income,True,3909891533858.08,14245349560959.0,0.0,12620084.241454937,12620084.241454937,8.859090601779062e-05,-4726092498489.487,4726117738657.97,0.0,0.0,0.03645443989957783,230070318.7418474,12620084.241454937,Low Probability,2.1915531577916942
