Variable,Stage1_Coef,Stage1_SE,Stage1_Pval,Stage2_Coef,Stage2_SE,Stage2_Pval
Constant,-3.214478475993811,0.36227346692275375,7.115543745496748e-19,18.53318427123522,0.41812213063686043,7.056410078995464e-148
Log GDP per capita,0.11766230961176719,0.028233823523500033,3.08061370389499e-05,,,
DAC member,2.0761345945125997,0.13497043404329215,2.156870215556732e-53,,,
UN voting alignment,1.7257492176790739,0.5913636391752228,0.003519976614856683,,,
Trade openness (% GDP),0.002235838710030582,0.0006742659329548123,0.0009132897397840868,,,
Governance effectiveness,0.04556983359695121,0.08417602301122627,0.5882570014754845,,,
Peer donor pressure,-0.07462566269869171,0.1639945259171957,0.649073471221226,,,
Log GDP (level),,,,2.2294048780456817,0.16368451604522713,2.3208818164048285e-34
Fiscal balance (% GDP),,,,0.13753897420506542,0.08822768978470884,0.11989646323700869
IDA vote share (lag),,,,0.13546181440395283,0.06553588650221652,0.039449811291353644
Trade exposure to IDA countries,,,,-0.16413314792283487,0.0719784110060678,0.023173324438672566
Log donation (prior round),,,,0.3653626365658513,0.126348986554344,0.004064416656117744
US/EU ally,,,,-1.7158553502232183,0.37010949444496505,4.974201330031123e-06
Sovereign credit rating,,,,0.22070030757298434,0.06980864973398868,0.0017027392458922456
Inverse Mills Ratio (λ),,,,-1.0079600562462032,0.09761524871101146,4.577321193561323e-22
